respondent_id,topic_id,Outlet group,Source,rating
7,kst9,KESMA,R3,1.0
8,kst9,KESMA,R3,4.0
9,kst9,KESMA,R3,6.0
10,kst9,KESMA,R3,3.0
1,kst10,KESMA,R3,1.0
2,kst10,KESMA,R3,7.0
3,kst10,KESMA,R3,6.0
4,kst10,KESMA,R3,2.0
5,kst10,KESMA,R3,6.0
6,kst10,KESMA,R3,6.0
7,kst10,KESMA,R3,4.0
8,kst10,KESMA,R3,7.0
9,kst10,KESMA,R3,2.0
10,kst10,KESMA,R3,6.0
1,kst11,KESMA,R3,1.0
2,kst11,KESMA,R3,4.0
3,kst11,KESMA,R3,4.0
4,kst11,KESMA,R3,5.0
5,kst11,KESMA,R3,6.0
7,kst11,KESMA,R3,6.0
8,kst11,KESMA,R3,3.0
9,kst11,KESMA,R3,4.0
10,kst11,KESMA,R3,3.0
1,kst12,KESMA,R3,4.0
2,kst12,KESMA,R3,1.0
3,kst12,KESMA,R3,2.0
4,kst12,KESMA,R3,2.0
5,kst12,KESMA,R3,3.0
6,kst12,KESMA,R3,4.0
7,kst12,KESMA,R3,3.0
8,kst12,KESMA,R3,2.0
9,kst12,KESMA,R3,3.0
10,kst12,KESMA,R3,6.0
1,kst13,KESMA,R3,3.0
2,kst13,KESMA,R3,7.0
3,kst13,KESMA,R3,5.0
4,kst13,KESMA,R3,4.0
5,kst13,KESMA,R3,5.0
6,kst13,KESMA,R3,6.0
7,kst13,KESMA,R3,3.0
8,kst13,KESMA,R3,3.0
9,kst13,KESMA,R3,7.0
10,kst13,KESMA,R3,5.0
1,kst14,KESMA,R3,4.0
2,kst14,KESMA,R3,7.0
3,kst14,KESMA,R3,6.0
4,kst14,KESMA,R3,5.0
5,kst14,KESMA,R3,3.0
6,kst14,KESMA,R3,4.0
7,kst14,KESMA,R3,7.0
8,kst14,KESMA,R3,7.0
9,kst14,KESMA,R3,1.0
10,kst14,KESMA,R3,4.0
1,kst15,KESMA,R3,3.0
2,kst15,KESMA,R3,1.0
3,kst15,KESMA,R3,2.0
4,kst15,KESMA,R3,3.0
5,kst15,KESMA,R3,2.0
6,kst15,KESMA,R3,1.0
7,kst15,KESMA,R3,1.0
8,kst15,KESMA,R3,1.0
9,kst15,KESMA,R3,2.0
10,kst15,KESMA,R3,1.0
